Date,Open,High,Low,Close,Adj Close,Volume
2018-02-02,280.079987,280.230011,275.410004,275.450012,248.341949,173174800
2018-02-05,273.450012,275.850006,263.309998,263.929993,237.955719,294681800
2018-02-06,259.940002,269.700012,258.700012,269.130005,242.643906,355026800
2018-02-07,268.5,272.359985,267.579987,267.670013,241.327667,167376100
2018-02-08,268.01001,268.170013,257.589996,257.630005,232.275696,246449500
2018-02-09,260.799988,263.609985,252.919998,261.5,235.764847,283565300
2018-02-12,263.829987,267.01001,261.660004,265.339996,239.226959,143736000
2018-02-13,263.970001,266.619995,263.309998,266.0,239.822006,81223600
2018-02-14,264.309998,270.0,264.299988,269.589996,243.058594,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,246.160141,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,246.232132,160420100
2018-02-20,272.029999,273.670013,270.5,271.399994,244.690521,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,243.473373,98883700
2018-02-22,271.100006,273.049988,269.640015,270.399994,243.789017,110511300
2018-02-23,271.790009,274.709991,271.25,274.709991,247.674774,92766400
2018-02-26,275.929993,278.01001,275.26001,277.899994,250.550842,86491400
2018-02-27,278.109985,278.920013,274.359985,274.429993,247.422348,99099200
2018-02-28,275.679993,276.190002,271.290009,271.649994,244.915955,121907800
2018-03-01,271.410004,273.170013,266.0,267.700012,241.35463,176855100
2018-03-02,265.799988,269.720001,264.820007,269.079987,242.598907,139083200
2018-03-05,267.730011,272.890015,267.609985,272.190002,245.402802,97307400
2018-03-06,273.299988,273.390015,271.179993,272.880005,246.024841,79213200
2018-03-07,270.420013,273.179993,270.200012,272.779999,245.934738,87063500
2018-03-08,273.549988,274.23999,272.420013,274.100006,247.124817,66901200
2018-03-09,275.700012,278.869995,275.339996,278.869995,251.425339,113625300
2018-03-12,279.200012,279.910004,278.079987,278.519989,251.109833,71924800
2018-03-13,279.839996,280.410004,276.029999,276.720001,249.486984,91968900
2018-03-14,277.809998,278.019989,274.670013,275.299988,248.206757,105895100
2018-03-15,275.880005,276.609985,274.429993,275.0,247.936249,83433000
2018-03-16,274.5,275.390015,274.140015,274.200012,248.20517,100343700
2018-03-19,273.350006,274.399994,268.619995,270.48999,244.846817,109208400
2018-03-20,270.940002,271.670013,270.179993,270.950012,245.263214,59757300
2018-03-21,270.899994,273.269989,270.190002,270.429993,244.792526,78709600
2018-03-22,267.910004,268.869995,263.359985,263.670013,238.673386,148785900
2018-03-23,264.170013,264.540009,257.829987,258.049988,233.586105,183534800
2018-03-26,262.130005,265.429993,259.410004,265.109985,239.976868,141956100
2018-03-27,266.170013,266.769989,258.839996,260.600006,235.894424,129941400
2018-03-28,260.75,262.640015,258.579987,259.829987,235.197418,146452300
2018-03-29,261.119995,265.26001,259.839996,263.149994,238.202652,111601600
2018-04-02,262.549988,263.130005,254.669998,257.470001,233.061142,186286300
